Team,DisplayName,ShortDisplayName,Division,Logo,BetterLogos,Color
New Mexico Lobos,New Mexico,NM,A,New_Mexico.png,New_Mexico_Lobos.png,#da1348
New Mexico State Aggies,NM State,NMSU,A,New_Mexico_State.png,New_Mexico_St__Aggies.png,#891115
North Carolina Tar Heels,North Carolina,UNC,A,North_Carolina.png,North_Carolina_Tar_Heels.png,#98bfe5
North Texas Mean Green,North Texas,N-Tex,A,North_Texas.png,North_Texas_Mean_Green.png,#00853d
Northern Illinois Huskies,North Illinois,NIU,A,Northern_Illinois.png,Northern_Illinois_Huskies.png,#f92b44
Northwestern Wildcats,Northwester Wildcats,NU,A,Northwestern.png,Northwestern_Wildcats.png,#393996
Notre Dame Fighting Irish,Notre Dame,ND,A,notre-dame-fighting-irish.png,Notre_Dame_Fighting_Irish.png,#b99c00
Ohio Bobcats,Ohio,Ohio,A,Ohio.png,Ohio_Bobcats.png,#2f5b36
Ohio State Buckeyes,Ohio State,OSU,A,Ohio_State.png,Ohio_St__Buckeyes.png,#e13226
Oklahoma Sooners,Oklahoma,Ok,A,Oklahoma.png,Oklahoma_Sooners.png,#ba0034
Oklahoma State Cowboys,Oklahoma State,Ok-S,A,Oklahoma_State.png,Oklahoma_St__Cowboys.png,#f9a13b
Ole Miss Rebels,Ole Miss,OleM,A,Ole_Miss.png,Mississippi_Rebels.png,#ff002c
Oregon Ducks,Oregon,Ore,A,Oregon.png,Oregon_Ducks.png,#044520
Oregon State Beavers,Oregon State,Ore-S,A,Oregon_State.png,Oregon_St__Beavers.png,#ef4d04
Penn State Nittany Lions,Penn State,Penn,A,Penn_State.png,Penn_St__Nittany_Lions.png,#00265d
Pittsburgh Panthers,Pittsburgh,Pit,A,Pittsburgh.png,Pittsburgh_Panthers.png,#003263
Purdue Boilermakers,Purdue,Purdue,A,Purdue.png,Purdue_Boilermakers.png,#b49926
Rice Owls,Rice,Rice,A,Rice.png,Rice_Owls.png,#003d7d
Rutgers Scarlet Knights,Rutgers,Rut,A,Rutgers.png,Rutgers_Scarlet_Knights.png,#ee373d
San Diego State Aztecs,SD State,SDS,A,San_Diego_State.png,San_Diego_St__Aztecs.png,#bf2c37
San Jose State Spartans,San Jose State,SJSU,A,San_Jose_State.png,San_Jose_St__Spartans.png,#ffd721
SMU Mustangs,SMU,SMU,A,Southern_Methodist.png,SMU_Mustangs.png,#e32f38
South Alabama Jaguars,S. Alabama,SAlab,A,South_Alabama.png,south-alabama-jaguars.png,#d11241
South Carolina Gamecocks,SC,SC,A,South_Carolina.png,South_Carolina_Gamecocks.png,#bd0303
South Florida Bulls,South Florida,SFl,A,South_Florida.png,South_Florida_Bulls.png,#004a37
Southern Miss Golden Eagles,S. Miss,SMiss,A,Southern_Miss.png,Southern_Miss_Golden_Eagles.png,#ffaa3c
Stanford Cardinal,Stanford,Stan,A,Stanford.png,Stanford_Cardinal.png,#a80532
Syracuse Orange,Syracuse,Syr,A,Syracuse.png,Syracuse_Orange.png,#f37321
TCU Horned Frogs,TCU,TCU,A,TCU.png,TCU_Horned_Frogs.png,#322d77
Temple Owls,Temple,Tem,A,Temple.png,Temple_Owls.png,#a80532
Tennessee Volunteers,Tenn. Volunteers,Ten,A,Tennessee.png,Tennessee_Volunteers.png,#ee9627
Texas A&M Aggies,Texas Aggies,TAMU,A,Texas_A&M.png,Texas_A&M_Aggies.png,#5c0025
Texas Longhorns,Texas,Tex,A,Texas.png,Texas_Longhorns.png,#ee7524
Texas State Bobcats,Texas State,TexSt,A,Texas_State.png,texas-state-bobcats.png,#744143
Texas Tech Red Raiders,Texas Tech,TTU,A,Texas_Tech.png,Texas_Tech_Red_Raiders.png,#d40034
Toledo Rockets,Toledo,Tol,A,Toledo.png,Toledo_Rockets.png,#fff108
Troy Trojans,Troy,Troy,A,Troy.png,Troy_Trojans.png,#aa000a
Tulane Green Wave,Tulane,Tulane,A,Tulane.png,Tulane_Green_Wave.png,#005838
Tulsa Golden Hurricane,Tulsa,Tulsa,A,Tulsa.png,Tulsa_Golden_Hurricane.png,#013b6c
UAB Blazers,UAB,UAB,A,UAB.png,UAB_Blazers.png,#a29972
UCF Knights,UCF,UCF,A,UCF.png,UCF_Knights.png,#b4985a
UCLA Bruins,UCLA,UCLA,A,UCLA.png,UCLA_Bruins.png,#005992
