Team,DisplayName,Division,Logo,Color
Lafayette Leopards,Lafayette,AA,Lafayette.png,#900028
Lamar Cardinals,Lamar,AA,Lamar.png,#e51937
Lehigh Mountain Hawks,Lehigh,AA,Lehigh.png,#994708
Liberty Flames,Liberty,AA,Liberty.png,#193d94
Louisiana Tech Bulldogs,Louisiana Tech,A,Louisiana_Tech.png,#ef1b22
Louisiana's Ragin' Cajuns,Louisiana,A,Louisiana-Lafayette.png,#d73347
Louisville Cardinals,Louisville,A,Louisville.png,#fe0b20
LSU Tigers,LSU,A,LSU.png,#33297b
Maine Black Bears,Maine,AA,Maine.png,#499fd1
Marist Red Foxes,Marist,AA,Marist.png,#ef0e12
Marshall Thundering Herd,Marshall,A,Marshall.png,#01592f
Maryland Terrapins,Maryland,A,Maryland.png,#d30022
McNeese State Cowboys,McNeese State,AA,McNeese_State.png,#00529c
Memphis Tigers,Memphis,A,Memphis.png,#2a2a9b
Miami Hurricanes,Miami,A,Miami_(FL).png,#e75c2d
Miami RedHawks,Miami RedHawks,A,Miami_(OH).png,#c70a10
Michigan State Spartans,Michigan State,A,Michigan_State.png,#1c453a
Michigan Wolverines,Michigan,A,Michigan.png,#00275d
Middle Tennessee Blue Raiders,Mid. Tennessee,A,Middle_Tennessee.png,#0079c2
Minnesota Golden Gophers,Minnesota,A,Minnesota.png,#7d001b
Mississippi State Bulldogs,Mississippi State,A,Mississippi_State.png,#762123
Mississippi Valley State Delta Devils,Mississippi Val. St.,AA,Mississippi_Valley_State.png,#005429
Missouri State Bears,Missouri State,AA,Missouri_State.png,#5d0000
Missouri Tigers,Missouri,A,Missouri.png,#eaae09
Monmouth Hawks,Monmouth,AA,Monmouth.png,#041744
Montana Grizzlies,Montana,AA,Montana.png,#7e2d5d
Montana State Bobcats,Montana State,AA,Montana_State.png,#d3af7e
Morehead State Eagles,Morehead State,AA,Morehead_State.png,#fff822
Morgan State Bears,Morgan State,AA,Morgan_State.png,#cb6b35
Murray State Racers,Murray State,AA,Murray_State.png,#ffe000
Navy Midshipmen,Navy,A,Navy.png,#f2b129
NC State Wolfpack,NC State,A,North_Carolina_State.png,#ef1217
Nebraska Cornhuskers,Nebraska,A,Nebraska.png,#f20017
Nevada Wolf Pack,Nevada,A,Nevada.png,#153e5f
New Hampshire Wildcats,New Hampshire,AA,New_Hampshire.png,#004990
